dataset,generation_engine,pruning_method,optimisation_engine,lookup_id,energy,status,xyz_file,log_file
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OPZLDVPRAIERSE-UHFFFAOYSA-N_conf229,-39.6017,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf229_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf229_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OPZLDVPRAIERSE-UHFFFAOYSA-N_conf231,-42.8342,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf231_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OPZLDVPRAIERSE-UHFFFAOYSA-N_conf231_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf207,-18.3503,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf207_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf207_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf111,-20.2722,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf111_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf111_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf194,-19.4313,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf194_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/OQCIXXVMXBXDSC-UHFFFAOYSA-N_conf194_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf56,-22.82,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf56_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf56_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf185,-29.9686,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf185_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf185_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf96,-23.3445,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf96_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PFPUZMSQZJFLBK-UHFFFAOYSA-N_conf96_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf220,-21.2954,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf220_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf220_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf132,-27.1503,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf132_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf132_xtb.log
